date,time_logged,symbol,event,box_low,box_high,bias,side,entry_price,stop_price,target_price,qty,order_id,notes
2026-08-07,12:12:48,MSFT,BOX_SET,499.845,504.91,bullish,,,,,,,
2026-08-07,12:12:48,NVDA,BOX_SET,220.69,223.1,bullish,,,,,,,
2026-08-07,12:12:49,AAPL,BOX_SET,310.76,313.81,bullish,,,,,,,
2026-08-10,12:13:07,MSFT,BOX_SET,502.78,508.8,bullish,,,,,,,
2026-08-10,12:13:07,NVDA,SKIPPED_LIQUIDITY,,,,,,,,,,range=1.64 atr=7.77 needed=1.94
2026-08-10,12:13:07,AAPL,BOX_SET,304.64,307.42,bearish,,,,,,,
2026-08-11,12:14:42,MSFT,SKIPPED_LIQUIDITY,,,,,,,,,,range=3.88 atr=17.34 needed=4.34
2026-08-11,12:14:42,NVDA,BOX_SET,219.26,222.09,bearish,,,,,,,
2026-08-11,12:14:43,AAPL,BOX_SET,306.27,309.91,bearish,,,,,,,
2026-08-12,12:14:51,MSFT,SKIPPED_LIQUIDITY,,,,,,,,,,range=4.24 atr=17.16 needed=4.29
2026-08-12,12:14:51,NVDA,BOX_SET,220.295,222.45,bullish,,,,,,,
2026-08-12,12:14:52,AAPL,BOX_SET,302.2,305.61,bearish,,,,,,,
